doc_id	title	text	category
183	테니스공 의자 발 커버 소형 4개입 베이지	테니스공 의자 발 커버 소형 4개입 베이지 문구/팬시 학용품	문구/팬시 > 학용품
184	샤프란케어 섬유탈취제 900ml (싱그러운향)	샤프란케어 섬유탈취제 900ml (싱그러운향) 청소/욕실 방향/탈취	청소/욕실 > 방향/탈취
185	리틀트윈스타 얼굴 동전 지갑 라라	리틀트윈스타 얼굴 동전 지갑 라라 기타 미분류	기타 > 미분류
186	리빙 소프트팩 티슈 150매X3입	리빙 소프트팩 티슈 150매X3입 뷰티/위생 스킨케어	뷰티/위생 > 스킨케어
187	리틀트윈스타 얼굴 동전 지갑 키키	리틀트윈스타 얼굴 동전 지갑 키키 기타 미분류	기타 > 미분류
188	믹스 포인트 아크릴 뜨개실 40 g 크림	믹스 포인트 아크릴 뜨개실 40 g 크림 뷰티/위생 스킨케어	뷰티/위생 > 스킨케어
189	자석형 폴라로이드 꾸미기 액자 3개입	자석형 폴라로이드 꾸미기 액자 3개입 문구/팬시 학용품	문구/팬시 > 학용품
190	마데카 메디패치 프리컷 1매	마데카 메디패치 프리컷 1매 뷰티/위생 스킨케어	뷰티/위생 > 스킨케어
191	대형 비닐봉지 화이트 70L 10매	대형 비닐봉지 화이트 70L 10매 기타 미분류	기타 > 미분류
192	[입수 UP] 디자인 종이컵 184 ml 50개입	[입수 UP] 디자인 종이컵 184 ml 50개입 주방용품 잔/컵/물병	주방용품 > 잔/컵/물병
193	클리덤 리포좀 비타민C 톤미스트세럼 100 ml	클리덤 리포좀 비타민C 톤미스트세럼 100 ml 뷰티/위생 스킨케어	뷰티/위생 > 스킨케어
194	VT PDRN 광채리프팅마스크 1매 27 g+광채에센스 1.5 ml	VT PDRN 광채리프팅마스크 1매 27 g+광채에센스 1.5 ml 뷰티/위생 스킨케어	뷰티/위생 > 스킨케어
195	블루나 KF94 2D 마스크 블랙 대형 3매입	블루나 KF94 2D 마스크 블랙 대형 3매입 기타 미분류	기타 > 미분류
196	맘스크린 지퍼백 소 50매	맘스크린 지퍼백 소 50매 기타 미분류	기타 > 미분류
197	피규어 케이스 19.7 X 9 X 8 cm	피규어 케이스 19.7 X 9 X 8 cm 기타 미분류	기타 > 미분류
198	감자 캡슐팩	감자 캡슐팩 뷰티/위생 스킨케어	뷰티/위생 > 스킨케어
199	패브릭 커버 토마토 포켓 무선 노트 48매입	패브릭 커버 토마토 포켓 무선 노트 48매입 문구/팬시 노트/메모	문구/팬시 > 노트/메모
200	대웅제약 밀크씨슬 30정 30일분	대웅제약 밀크씨슬 30정 30일분 기타 미분류	기타 > 미분류
201	RGIII 레드진생 스칼프 샴푸 300ml	RGIII 레드진생 스칼프 샴푸 300ml 뷰티/위생 헤어/바디	뷰티/위생 > 헤어/바디
202	원스텝필링패드	원스텝필링패드 기타 미분류	기타 > 미분류
203	뽑아 쓰는 롱루프 걸레 20매입	뽑아 쓰는 롱루프 걸레 20매입 청소/욕실 청소도구	청소/욕실 > 청소도구
204	폭신폭신 소프트 뜨개실 40 g 아이보리	폭신폭신 소프트 뜨개실 40 g 아이보리 반려동물 강아지용품	반려동물 > 강아지용품
205	안개 분사 화장품 스프레이 80 ml	안개 분사 화장품 스프레이 80 ml 반려동물 강아지용품	반려동물 > 강아지용품
206	PP 투명 케이스 1호	PP 투명 케이스 1호 기타 미분류	기타 > 미분류
207	틈새 수납 정리대	틈새 수납 정리대 수납/정리 정리용품	수납/정리 > 정리용품
208	싸이닉 파워옴므 블랙립밤 4 g	싸이닉 파워옴므 블랙립밤 4 g 뷰티/위생 메이크업	뷰티/위생 > 메이크업
209	[한정수량] 닥터블릿 푸응 7Days 팻버닝 21캡슐 체크리스트 포함	[한정수량] 닥터블릿 푸응 7Days 팻버닝 21캡슐 체크리스트 포함 기타 미분류	기타 > 미분류
210	클리덤 리포좀 비타민C 캡슐잡티크림 55 ml	클리덤 리포좀 비타민C 캡슐잡티크림 55 ml 뷰티/위생 스킨케어	뷰티/위생 > 스킨케어
211	욕조용 스텐 배수구 망	욕조용 스텐 배수구 망 기타 미분류	기타 > 미분류
212	닥터씨피유 딥클린 효소 파우더 워시 60 g	닥터씨피유 딥클린 효소 파우더 워시 60 g 기타 미분류	기타 > 미분류
213	오피스 블랙코팅 가위 6 cm	오피스 블랙코팅 가위 6 cm 주방용품 조리도구	주방용품 > 조리도구
214	디퓨저 리필액 200 ml 블랙체리 향	디퓨저 리필액 200 ml 블랙체리 향 청소/욕실 방향/탈취	청소/욕실 > 방향/탈취
215	[펫] 이즈칸 캣 오리지널 통통닭 26 g (10g당 385원)	[펫] 이즈칸 캣 오리지널 통통닭 26 g (10g당 385원) 반려동물 고양이용품	반려동물 > 고양이용품
216	메디필 물톡스 광채 보습 패드 2.0 50매입	메디필 물톡스 광채 보습 패드 2.0 50매입 식품 음료	식품 > 음료
217	마데카21 테카 솔루션 수딩 크림 50 ml	마데카21 테카 솔루션 수딩 크림 50 ml 뷰티/위생 스킨케어	뷰티/위생 > 스킨케어
218	내손에 유럽 핸드크림 로마 60g	내손에 유럽 핸드크림 로마 60g 뷰티/위생 스킨케어	뷰티/위생 > 스킨케어
219	담배냄새 제거용 분사기향 (숲속향)	담배냄새 제거용 분사기향 (숲속향) 기타 미분류	기타 > 미분류
220	보습을 부탁해 풋 마스크팩	보습을 부탁해 풋 마스크팩 뷰티/위생 스킨케어	뷰티/위생 > 스킨케어
221	철판 꾸이킹 오리지널 22 g	철판 꾸이킹 오리지널 22 g 기타 미분류	기타 > 미분류
222	K일회용필터 화이트 마스크 대형 30 매입	K일회용필터 화이트 마스크 대형 30 매입 주방용품 일회용품	주방용품 > 일회용품
223	세꼼마 버블 항균 핸드워시 리필 200 ml 레몬 향	세꼼마 버블 항균 핸드워시 리필 200 ml 레몬 향 기타 미분류	기타 > 미분류
224	사각 동물 캐릭터 패브릭 바구니 대형	사각 동물 캐릭터 패브릭 바구니 대형 수납/정리 수납함	수납/정리 > 수납함
225	스퀘어 레터링 세로형 쇼핑백 아이보리	스퀘어 레터링 세로형 쇼핑백 아이보리 기타 미분류	기타 > 미분류
226	부드러운 패턴 담요 200 X 120 cm 핑크	부드러운 패턴 담요 200 X 120 cm 핑크 기타 미분류	기타 > 미분류
227	꽃모양 퍼프 2개입	꽃모양 퍼프 2개입 반려동물 강아지용품	반려동물 > 강아지용품
228	부직포 행주 30X40cm 50매	부직포 행주 30X40cm 50매 주방용품 주방잡화	주방용품 > 주방잡화
229	발바닥 지압 마사지기	발바닥 지압 마사지기 기타 미분류	기타 > 미분류
230	르까프 방한용 장갑 블랙	르까프 방한용 장갑 블랙 패션/잡화 우산/장갑	패션/잡화 > 우산/장갑
231	시카 카밍 토너 패드 100매입	시카 카밍 토너 패드 100매입 뷰티/위생 스킨케어	뷰티/위생 > 스킨케어
232	동아 싹스틱	동아 싹스틱 기타 미분류	기타 > 미분류
233	팩미인 풋 케어 팩	팩미인 풋 케어 팩 뷰티/위생 스킨케어	뷰티/위생 > 스킨케어
234	고무나무 미니 이젤	고무나무 미니 이젤 기타 미분류	기타 > 미분류
235	어성초 캡슐팩	어성초 캡슐팩 뷰티/위생 스킨케어	뷰티/위생 > 스킨케어
236	줌 바이 정샘물 미니탭 퍼프 3개입	줌 바이 정샘물 미니탭 퍼프 3개입 식품 음료	식품 > 음료
237	AHC 에이지리뉴 듀얼 텐션 마스크 타이트닝 1매 28 g	AHC 에이지리뉴 듀얼 텐션 마스크 타이트닝 1매 28 g 기타 미분류	기타 > 미분류
238	별 집게 클립 16개입	별 집게 클립 16개입 뷰티/위생 메이크업	뷰티/위생 > 메이크업
239	아트 월 틈새 걸이 3개입	아트 월 틈새 걸이 3개입 반려동물 강아지용품	반려동물 > 강아지용품
240	더 강력한 배수구 클리너 70 g 3개입	더 강력한 배수구 클리너 70 g 3개입 반려동물 강아지용품	반려동물 > 강아지용품
241	욕실 청소 스펀지 10개입	욕실 청소 스펀지 10개입 청소/욕실 청소도구	청소/욕실 > 청소도구
242	니트릴 장갑 120매 S 화이트	니트릴 장갑 120매 S 화이트 패션/잡화 우산/장갑	패션/잡화 > 우산/장갑
243	래빗 프렌즈 스티커 4매입	래빗 프렌즈 스티커 4매입 뷰티/위생 미용소품	뷰티/위생 > 미용소품
244	휴대용 말랑 팁 립 브러시	휴대용 말랑 팁 립 브러시 뷰티/위생 메이크업	뷰티/위생 > 메이크업
245	크리넥스 마이비데 클린 케어 휴대용 10매X4개입	크리넥스 마이비데 클린 케어 휴대용 10매X4개입 반려동물 강아지용품	반려동물 > 강아지용품
246	A5 바인더 루즈 리프 노트 퍼플	A5 바인더 루즈 리프 노트 퍼플 문구/팬시 노트/메모	문구/팬시 > 노트/메모
247	스팀베이스 데일리 아이워머 편백나무숲 향	스팀베이스 데일리 아이워머 편백나무숲 향 기타 미분류	기타 > 미분류
248	메디와이퍼 소독 티슈 80매 캡형	메디와이퍼 소독 티슈 80매 캡형 뷰티/위생 화장지/물티슈	뷰티/위생 > 화장지/물티슈
249	사선형 롤클리너 리필 16 cm 5개입	사선형 롤클리너 리필 16 cm 5개입 반려동물 강아지용품	반려동물 > 강아지용품
250	참 깨끗한 물티슈 120매	참 깨끗한 물티슈 120매 뷰티/위생 화장지/물티슈	뷰티/위생 > 화장지/물티슈
251	멀티 서랍장 1-3호	멀티 서랍장 1-3호 수납/정리 수납함	수납/정리 > 수납함
252	다람쥐 모양 손목 패드	다람쥐 모양 손목 패드 기타 미분류	기타 > 미분류
253	가정용 양초 대형 6개입	가정용 양초 대형 6개입 반려동물 강아지용품	반려동물 > 강아지용품
254	그래픽 AI 스티커 4매입	그래픽 AI 스티커 4매입 문구/팬시 노트/메모	문구/팬시 > 노트/메모
255	미피 캐릭터 종이컵 210ml 25개입	미피 캐릭터 종이컵 210ml 25개입 주방용품 잔/컵/물병	주방용품 > 잔/컵/물병
256	토네이도 휴지통	토네이도 휴지통 뷰티/위생 화장지/물티슈	뷰티/위생 > 화장지/물티슈
257	파티온 노스카나인 퍼스트스텝 흔적앰플 30 ml	파티온 노스카나인 퍼스트스텝 흔적앰플 30 ml 기타 미분류	기타 > 미분류
258	대웅제약 바나바잎 추출물 30정 (30일분)	대웅제약 바나바잎 추출물 30정 (30일분) 식품 음료	식품 > 음료
259	[펫] 캐츠랑 저요저요 닭고기 50 g	[펫] 캐츠랑 저요저요 닭고기 50 g 반려동물 반려동물공통	반려동물 > 반려동물공통
260	빨아 쓰는 행주 타월 200매입	빨아 쓰는 행주 타월 200매입 주방용품 주방잡화	주방용품 > 주방잡화
261	과탄산소다 세탁비누 250g	과탄산소다 세탁비누 250g 청소/욕실 욕실용품	청소/욕실 > 욕실용품
262	송월 순면 세면 타월 34 X 80 cm 딥베이지	송월 순면 세면 타월 34 X 80 cm 딥베이지 기타 미분류	기타 > 미분류
263	메이지 초코 베이비 32 g	메이지 초코 베이비 32 g 기타 미분류	기타 > 미분류
264	초코픽셀 동물농장 100g	초코픽셀 동물농장 100g 식품 음료	식품 > 음료
265	실리콘 용기 사각형 100 ml	실리콘 용기 사각형 100 ml 기타 미분류	기타 > 미분류
266	투명 수납함 38 X 28 X 11 cm	투명 수납함 38 X 28 X 11 cm 수납/정리 수납함	수납/정리 > 수납함
267	청우 쫀득 초코칩 커피 맛 90 g	청우 쫀득 초코칩 커피 맛 90 g 식품 과자/스낵	식품 > 과자/스낵
268	바세린 데일리 모이스처 비누 100g	바세린 데일리 모이스처 비누 100g 청소/욕실 욕실용품	청소/욕실 > 욕실용품
269	태화 컬러 고무장갑 2켤레 그레이 M	태화 컬러 고무장갑 2켤레 그레이 M 패션/잡화 우산/장갑	패션/잡화 > 우산/장갑
270	밀크터치 디어씽 블러리 이펙트 스무드 터치팟 뮤트메모리	밀크터치 디어씽 블러리 이펙트 스무드 터치팟 뮤트메모리 기타 미분류	기타 > 미분류
271	메디필 멜라논엑스 기미크림패치 2매	메디필 멜라논엑스 기미크림패치 2매 뷰티/위생 스킨케어	뷰티/위생 > 스킨케어
272	사선형 롤클리너 리필 10 cm 2개입	사선형 롤클리너 리필 10 cm 2개입 반려동물 강아지용품	반려동물 > 강아지용품
273	확장형 물먹는 제습제 400g	확장형 물먹는 제습제 400g 식품 음료	식품 > 음료
274	다용도 라탄 바구니 6호	다용도 라탄 바구니 6호 수납/정리 수납함	수납/정리 > 수납함
275	링링 솔리드 네일 10 ml 무색투명	링링 솔리드 네일 10 ml 무색투명 뷰티/위생 네일용품	뷰티/위생 > 네일용품
276	손잡이 다용도 꼬치 15 cm 60개입	손잡이 다용도 꼬치 15 cm 60개입 반려동물 강아지용품	반려동물 > 강아지용품
277	진공 저장 용기 결착형 640 ml	진공 저장 용기 결착형 640 ml 수납/정리 진공백	수납/정리 > 진공백
278	컬러 인덱스 소형 220매입 파스텔	컬러 인덱스 소형 220매입 파스텔 기타 미분류	기타 > 미분류
279	김장 비닐 대형 3장	김장 비닐 대형 3장 기타 미분류	기타 > 미분류
280	태그 슬림브로우펜슬(2호_애쉬브라운)	태그 슬림브로우펜슬(2호_애쉬브라운) 기타 미분류	기타 > 미분류
281	L자형 투톤 치간칫솔 SSSS 8P	L자형 투톤 치간칫솔 SSSS 8P 뷰티/위생 헤어/바디	뷰티/위생 > 헤어/바디
282	바닥을 누르면 쏙 빠지는 알알이쏙 용기 7.5ml X 24구	바닥을 누르면 쏙 빠지는 알알이쏙 용기 7.5ml X 24구 기타 미분류	기타 > 미분류
283	멀티 수납함 M	멀티 수납함 M 수납/정리 수납함	수납/정리 > 수납함
284	여행용 접이식 슬리퍼 270mm	여행용 접이식 슬리퍼 270mm 패션/잡화 슬리퍼	패션/잡화 > 슬리퍼
285	손난로 컬러 일반형 대용량 15개입	손난로 컬러 일반형 대용량 15개입 반려동물 강아지용품	반려동물 > 강아지용품
286	스틸 조립식 2단 선반	스틸 조립식 2단 선반 뷰티/위생 메이크업	뷰티/위생 > 메이크업
287	고급한방때비누	고급한방때비누 청소/욕실 욕실용품	청소/욕실 > 욕실용품
288	작업 보수용 테이프 50mmX10m	작업 보수용 테이프 50mmX10m 문구/팬시 사무용품	문구/팬시 > 사무용품
